시설 코드,시설 명,업종,주변 시설1,위도,경도
1,전은경서프스쿨,해양레저,아리펜션,37.5652218,128.7815042
1,정글대탐험 하이원추추파크점,일반,황소갈비,37.2305133,129.3401376
1,정동진 시간박물관,일반,정동진 보스대게,37.6862468,129.0324388
1,정동진 레일바이크,일반,정동진 해물탕,37.691018,129.0285108
1,정암해수욕장,일반,낙산오션밸리리조트,38.110404,128.64
1,제이제이서프,해양레저,알로하 웨이브,37.9721103,128.7609151
1,제이크서프코리아,해양레저,마리펜션,37.945576,128.7812658
1,조아서프,해양레저,서프독,37.9714445,128.759566
1,죠스호,해양레저,푸른바다콘도텔,38.1216325,128.630622
1,주문진관광유람선,해양레저,리틀도어,37.886461,128.828803
1,주문진바다배낚시체험,해양레저,우리횟집,37.900348,128.832246
1,강릉 만월산 용연사,일반,모래내 메밀촌,37.8144751,128.8387848
1,해피아울하우스,일반,띠에라펜션,38.1999608,128.5191036
1,죽도해수욕장,일반,해뜨는창문 애견동반 오션뷰펜션,38.1380432,128.6157088
1,죽서루,일반,한우소머리국밥,37.4411624,129.1539104
1,중봉계곡,일반,길목,37.3674404,128.9157889
1,증산해변,일반,그랑블루,37.7886282,129.1614595
1,지경리해수욕장,일반,떴다 철가방,38.1534751,128.6069369
1,참소리축음기박물관,일반,경포바다여행펜션,37.7972515,128.8924946
1,챌린저호,해양레저,카페 아메리카,37.7710081,128.9452454
1,척산온천장,일반,만석닭강정 본점,38.1903027,128.5827341
1,척주동해비 및 대한평수토찬비,일반,삼거리식당,37.4364085,129.1836712
1,천년학힐링타운,일반,두다라운지,37.1380783,129.1746184
1,천은사,일반,미로생칼국수,37.4182288,129.1135947
1,청대산,일반,별주부네물곰탕,38.2048123,128.588548
1,청초호,일반,청초수물회,38.1914241,128.5881916
1,청초호호수공원 입구,일반,감자바우,38.200125,128.5794838
1,청초호유원지,일반,88생선구이,38.203735,128.5877908
1,초곡마리나,일반,웨이브 까페펜션,37.3085394,129.3161837
1,초곡해수욕장,일반,초곡바다펜션,37.3092123,129.2928076
1,추암관광지,일반,추암대게횟집,37.4779596,129.1587717
1,추암다이브랜드,해양레저,카페 터틀,37.4777041,129.158858
1,캔디서프,해양레저,화이트샌드펜션,37.971935,128.76195
1,캔디서프경포,해양레저,커피창고 900,37.4777041,128.876519
1,코랄서프,해양레저,수빈이네찜,38.1855501,128.5976227
1,콩서프,해양레저,콩이네 민박,37.9454906,128.7789515
1,클럽요트마스터,해양레저,수제버거 버거웍스,37.7731324,128.9464803
1,킹서프,해양레저,황금찹쌀꽈배기,37.5484909,129.3414761
1,킹콩서프,해양레저,킹콩하우스(게스트하우스),38.1281767,128.622788
1,타일러서프,해양레저,죽도식당,37.970369,128.7521051
1, 탄비치레이버스서핑,해양레저,원게스트하우스,38.0070321,128.7260142
1,고성통일전망대,일반,부두식당  ,38.500042,128.4200162
1,통일전망타워,일반,금강산분식  ,38.584638,128.3708039
1,팜서프,해양레저,솜다리수제버거,38.1291582,128.622235
1,퍼니서프,해양레저,프라다&에바스 펜션,37.8120577,128.897839
1,펀서프,해양레저,썬비치,37.7881578,128.7188408
1,포세이돈호,해양레저,게먹고 회먹고,37.894814,128.831556
1,포이푸서프,해양레저,블루마운틴펜션,37.8417097,128.8747302
1, 포인트브레이크 서프하우스,해양레저,해송민박,38.021753,128.7187345
1, 풀문아일랜드,해양레저,요거프레소,37.9734806,128.7548722
1,플라밍고서프,해양레저,feria902,37.83130767,128.8768682
1,피움아트센터,일반,노랑꼬리,38.313209,128.5115675
1,핀스서프,해양레저,힐비치서프리조트,37.9815437,128.757994
1,하늬라벤더팜,일반,그린힐,38.3777483,128.4580455
1,하맹방해변,일반,누운솔민박,37.3915038,129.2242066
1,하슬라아트월드,일반,스테이인터뷰,37.7079278,129.0122311
1,하조대해수욕장,일반,카페 달파도,38.0594064,128.6811912
1,하파서프,해양레저,풀빌라케이,37.8457249,128.8695233
1,한섬해수욕장,일반,미스터쭈삼,37.5209417,129.1187515
1,한일호,해양레저,달선이네 조개마당,37.7723522,128.9435773
1,한재밑해변,일반,고향민박,37.6876698,129.2027
1,해가사의 터,일반,쏠비치 삼척,37.4713372,129.1651391
1,해군옥계지구전적비,일반,더 좋은날,37.5939036,129.0883001
1,해병호,해양레저,일억조식당,37.2302464,129.3403817
1,해신당공원(어촌민속전시관),일반,신흥각,37.2302415,129.3403675
1,허균 허난설헌 기념공원,일반,사랑더하기펜션,37.7897314,128.910015
1,현충탑,일반,동원막국수,37.5192016,129.1209284
1,형제호,해양레저,제주해인물회,37.8375768,128.877013
1,화진포생태박물관,일반,화진포콘도식당,38.4787669,128.4326708
1,화진포서프스토리,해양레저,원조우리식당,38.4871436,128.4242116
1,화진포의성김일성별장,일반,SUNBED 카페,38.496447,128.4203943
1,화진포해양박물관,일반,동해반점,38.4931729,128.4245207
1,환선굴,일반,장호항 영기횟집,37.2868579,128.7190081
1,천곡황금박쥐동굴,일반,참맛골,37.5180775,129.1115621
1,황영조기념공원,일반,카사비앙카 펜션,37.3585786,129.2336755
1,휴휴암,일반,에이트 펜션,38.14133,128.6129978
1,히든서프,해양레저,한들펜션,37.8449663,128.871019
1,힐링호,해양레저,성진회관,38.4440579,128.4492205
1,강릉 송정해수욕장,일반,피터콤마,37.773036,128.9360186
1,강릉 쌍둥이 동물농장,일반,동남식당,37.6091616,129.0357045
1,강릉대도호부관아,일반,논타이틀,37.7510867,128.8919059
1,강릉솔향수목원,일반,MALMI,37.7209882,128.859
1,강릉임해자연휴양림,일반,딸부자막국수,37.7254424,128.97
1,강릉통일공원,일반,일미횟집,37.7332935,128.9815461
1,고루포기산,일반,해와비,37.6729928,128.709
1,국립대관령치유의숲,일반,성왕돈까스,37.7157321,128.823
1,금진해변,일반,알로하카페,37.6353508,129.0446625
1,남항진해변,일반,리틀다이너,37.7651645,128.9320933
1,노추산 모정탑길,일반,우리동네 국수집,37.5158551,128.72
1,대관령박물관,일반,카페bless,37.5158551,128.8031177
1,대관령자연휴양림,일반,카페 마눌,37.7180518,128.793
1,등명낙가사,일반,엔드 투 앤드,37.7874397,128.918
1,등명해변,일반,큰기와집,37.7027778,129.007
1,멍에전망대,일반,풀향기,37.6193232,128.716
1,명주예술마당,일반,삼거리식당,37.7493694,128.8907845
1,모래시계공원,일반,덕이식당,37.5495285,129.024
1,뮤지엄홀리데이,일반,900달러,37.7537859,128.8922779
1,바루서프,해양레저,금진A3,37.6395717,129.0429131
1,브라보서프,해양레저,삼화횟집,37.6525542,129.0435797
1,서프홀릭강릉,해양레저,대성횟집,37.6391149,129.0433031
1,소집,일반,감자적 본부,37.7620233,128.9397565
1,신사임당사친시비,일반,바람의언덕,37.6848695,128.746
1,썬쿠르즈 테마공원,일반,해녀직영횟집,37.68584055,129.0389703
1,안목해변,일반,온센 강릉점,37.7734044,128.9394114
1,안인해변,일반,안인초가집,37.7329605,128.979
1,알로하서프,해양레저,금진향토식당,37.6412859,129.0429379
1,양양서프금진,해양레저,빨차카페,37.6348293,129.0448306
1,오봉서원,일반,청기와,37.7148446,128.825
1,옥계해변,일반,크리스탈밸리 카페,37.6279111,129.0481045
1,와우안반데기,일반,커피엠스테이블,37.6509439,128.695
1,왕산한옥마을,일반,포모도로,37.7311878,128.851
1,월화거리,일반,달떡볶이,37.7545852,128.8945669
1,정동심곡 바다부채길,일반,고기랑조개랑,37.6866497,129.0314205
1,정동진해수욕장,일반,바다부채길펜션,37.6890938,129.034
1,주마강산승마클럽,일반,해돈가,37.6857637,129.0305292
1,환희컵박물관,일반,버거웍스,37.7731043,128.9422961
1,강릉 초당동 고택,일반,토담순두부,37.7910933,128.9063152
1,강릉3.1독립만세운동기념탑,일반,까막장이야기,37.7960348,128.8917489
